word_id,english_word,word_type,turkish_meaning,category_1,category_2,category_3,english_level,sample_sentence_en,sample_sentence_tr,is_known
1,afraid,adjective,korkmuş,Oxford-3000, , ,A1,She was afraid for her children (= feared that they might be hurt).,Çocukları için korkuyordu (= onlara zarar gelmesinden korkuyordu).,0
2,amazing,adjective,inanılmaz,Oxford-3000, , ,A1,This stain remover really works - it's amazing!,Bu leke çıkarıcı gerçekten işe yarıyor - harika!,0
3,angry,adjective,sinirli,Oxford-3000, , ,A1,He's really angry at/with me for upsetting Sophie.,Sophie'yi üzdüğüm için bana gerçekten kızgın.,0
4,bad,adjective,kötü,Oxford-3000, , ,A1,Watch out - he's in a bad mood.,Dikkat edin; morali bozuk.,0
5,beautiful,adjective,Güzel,Oxford-3000, , ,A1,She was wearing a beautiful dress.,Çok güzel bir elbise giymişti.,0
6,best,adjective,en iyi,Oxford-3000, , ,A1,This is the best meal I've ever had.,Bu şimdiye kadar yediğim en güzel yemekti.,0
7,better,adjective,daha iyi,Oxford-3000, , ,A1,He stood near the front to get a better view.,Daha iyi görebilmek için ön tarafta durdu.,0
8,big,adjective,büyük,Oxford-3000, , ,A1,He's a big man.,O büyük bir adam.,0
9,black,adjective,siyah,Oxford-3000, , ,A1,I like my tea black; with sugar.,Çayımı sade; şekerli severim.,0
10,blonde,adjective,sarışın,Oxford-3000, , ,A1,Her blonde hair was tied back with a blue silk scarf.,Sarı saçları mavi ipek bir eşarpla arkaya bağlanmıştı.,0
11,blue,adjective,mavi,Oxford-3000, , ,A1,He was wearing a faded blue shirt.,Üzerinde solmuş mavi bir gömlek vardı.,0
12,bored,adjective,sıkılmış,Oxford-3000, , ,A1,It was a cold; wet day and the children were bored.,Soğuk ve yağmurlu bir gündü ve çocuklar sıkılmıştı.,0
13,boring,adjective,sıkıcı,Oxford-3000, , ,A1,She finds opera boring.,Operayı sıkıcı buluyor.,0
14,brilliant,adjective,muhteşem,Oxford-3000, , ,A1,Her mother was a brilliant scientist.,Annesi parlak bir bilim adamıydı.,0
15,busy,adjective,Meşgul,Oxford-3000, , ,A1,I've got plenty of jobs to keep you busy.,Seni meşgul edecek bir sürü işim var.,0
16,cheap,adjective,ucuz,Oxford-3000, , ,A1,I got a cheap flight at the last minute.,Son dakikada ucuz uçak bileti buldum.,0
17,clean,adjective,temiz,Oxford-3000, , ,A1,Make sure your hands are clean before you have your dinner.,Akşam yemeğinizi yemeden önce ellerinizin temiz olduğundan emin olun.,0
18,cold,adjective,soğuk,Oxford-3000, , ,A1,My feet are so cold.,Ayaklarım çok üşüyor.,0
19,common,adjective,yaygın,Oxford-3000, , ,A1,It's quite common to see couples who dress alike.,Birbirine benzer giyinen çiftleri görmek oldukça yaygındır.,0
20,cool,adjective,Serin,Oxford-3000, , ,A1,It was a lovely cool evening.,Çok güzel; serin bir akşamdı.,0
21,correct,adjective,doğru,Oxford-3000, , ,A1,"It's not correct to describe them as ""students"".","Bunlara ""öğrenci"" demek doğru değil.",0
22,dangerous,adjective,tehlikeli,Oxford-3000, , ,A1,The men are armed and dangerous.,Adamlar silahlı ve tehlikeli.,0
23,dark,adjective,karanlık,Oxford-3000, , ,A1,It was too dark to see much.,Çok karanlık olduğundan pek bir şey göremiyorduk.,0
24,dear,adjective,Sayın,Oxford-3000, , ,A1,She was a very dear friend.,Çok sevdiğim bir arkadaşımdı.,0
25,delicious,adjective,lezzetli,Oxford-3000, , ,A1,The delicious smell of freshly made coffee came from the kitchen.,Mutfaktan taze yapılmış kahvenin nefis kokusu geliyordu.,0
26,different,adjective,farklı,Oxford-3000, , ,A1,She seems to wear something different every day.,Her gün farklı bir şey giyiyor gibi görünüyor.,0
27,difficult,adjective,zor,Oxford-3000, , ,A1,It will be very difficult to prove that they are guilty.,Suçlu olduklarını ispatlamak çok zor olacak.,0
28,dirty,adjective,kirli,Oxford-3000, , ,A1,Her face was dirty and tear-stained.,Yüzü kirliydi ve gözyaşlarıyla lekelenmişti.,0
29,early,adjective,erken,Oxford-3000, , ,A1,If you finish early you can go home.,Eğer erken bitirirseniz eve gidebilirsiniz.,0
30,easy,adjective,kolay,Oxford-3000, , ,A1,It's easy to see why he's so popular.,Neden bu kadar popüler olduğunu anlamak kolay.,0
31,excited,adjective,heyecanlı,Oxford-3000, , ,A1,An excited crowd waited for the singer to arrive.,Şarkıcının gelmesini heyecanlı bir kalabalık bekliyordu.,0
32,exciting,adjective,heyecan verici,Oxford-3000, , ,A1,You're going to Africa? How exciting!,Afrika'ya mı gidiyorsun? Ne kadar heyecan verici!,0
33,expensive,adjective,masraflı,Oxford-3000, , ,A1,Rolls Royces are very expensive.,Rolls Royce'lar çok pahalıdır.,0
34,extra,adjective,ekstra,Oxford-3000, , ,A1,If you need any extra help; just call me.,Eğer ekstra yardıma ihtiyacınız olursa; beni arayın.,0
35,False,adjective,YANLIŞ,Oxford-3000, , ,A1,She was wearing false eyelashes for the photo shoot.,Fotoğraf çekiminde takma kirpik takmıştı.,0
36,famous,adjective,ünlü,Oxford-3000, , ,A1,Marie Curie is famous for her contribution to science.,Marie Curie bilime yaptığı katkılarla ünlüdür.,0
